,Model,Accuracy,F1 Score,Time Taken,Estimator
1,SVM,0.97,0.9699949994999499,0.011497735977172852,SVC(C=100)
0,Random Forest,0.97,0.9699949994999499,0.14447259902954102,RandomForestClassifier()
4,GP,0.9666666666666667,0.9666637035720106,15.622220754623413,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1))
2,KNN,0.9633333333333334,0.9633190701120683,0.008185386657714844,KNeighborsClassifier(n_neighbors=10)
3,GNB,0.8833333333333333,0.8832048843959566,0.0009927749633789062,GaussianNB()
